label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
near_pin_13	1	U5143/A1	pin	M1 CO	{764.4410 589.3370} {764.6130 589.5210}	n54904					
near_pin_13	2	U5143/VSS	pin	M1 CO	{764.1920 589.7410} {766.1680 590.1820}	VSS					
near_shape_13	1	PATH_11_27877	shape	M1	{764.3140 589.3620} {764.5570 589.4220}	n54904			detail_route		n54904
near_shape_13	2	PATH_15_182493	shape	M3	{764.3160 589.3640} {767.8680 589.4200}	n54904			detail_route		n54904
near_shape_13	3	PATH_15_261280	shape	M3	{764.9240 589.6680} {767.8680 589.7240}	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]			detail_route		u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
offgrid_error_14	0	14	drc_error		{768.1190 590.6590} {768.1690 590.8610}	NA	NA	NA	NA	NA	NA
drc_object_14	1	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]	net		{764.6810 576.9240} {771.5430 590.8910}						
near_cell_14	1	U7548	cell		{769.5490 590.1220} {771.7550 591.9390}		AO222X1_HVT	saed32hvt_tt.modified_lef/AO222X1_HVT			
near_cell_14	2	U7552	cell		{764.8370 590.1220} {767.0430 591.9390}		AO222X1_HVT	saed32hvt_tt.modified_lef/AO222X1_HVT			
near_cell_14	3	U7571	cell		{768.7890 591.7090} {770.9950 593.5260}		AO222X1_HVT	saed32hvt_tt.modified_lef/AO222X1_HVT			
near_cell_14	4	U20610	cell		{766.9650 591.7230} {768.4110 593.5260}		NBUFFX2_HVT	saed32hvt_tt.modified_lef/NBUFFX2_HVT			
near_pin_14	1	U4809/A1	pin	M1 CO	{767.7850 590.7830} {767.9570 590.9670}	n54904					
near_pin_14	2	U4809/VSS	pin	M1 CO	{767.5360 590.1220} {769.5120 590.5630}	VSS					
near_shape_14	1	PATH_15_32883	shape	M3	{765.3800 590.5800} {783.9800 590.6360}	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_1__5_			detail_route		u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_1__5_
near_shape_14	2	PATH_13_91642	shape	M2	{768.2680 589.0600} {768.3240 594.5880}	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_2__19_			detail_route		u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_2__19_
near_shape_14	3	PATH_13_536129	shape	M2	{768.1160 589.6680} {768.1720 590.7880}	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]			detail_route		u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
