label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
near_cell_9	3	U4214	cell		{775.7810 314.1710} {777.9870 315.9740}		NOR2X4_HVT	saed32hvt_tt.modified_lef/NOR2X4_HVT			
near_cell_9	4	ZBUF_1560_inst_1956	cell		{778.8240 315.9140} {780.5710 317.7170}		NBUFFX4_HVT	saed32hvt_tt.modified_lef/NBUFFX4_HVT			
near_pin_9	1	U4110/A1	pin	M1 CO	{778.1210 315.1290} {778.2930 315.3130}	n2966					
near_pin_9	2	U4110/VSS	pin	M1 CO	{777.8720 315.5330} {779.8480 315.9740}	VSS					
near_shape_9	1	PATH_19_613	shape	M5	{772.9800 315.4600} {790.3640 315.5160}	n4303			detail_route		n4303
near_shape_9	2	PATH_17_34315	shape	M4	{778.4520 269.2520} {778.5080 343.1800}	ZBUF_2_3			detail_route		ZBUF_2_3
near_shape_9	3	PATH_13_97093	shape	M2	{778.6040 312.7240} {778.6600 315.3640}	n4111			detail_route		n4111
near_shape_9	4	PATH_13_105557	shape	M2	{778.3000 310.5960} {778.3560 322.6600}	n6898			detail_route		n6898
near_shape_9	5	PATH_15_186003	shape	M3	{777.6920 315.1560} {781.2440 315.2120}	n54889			detail_route		n54889
offgrid_error_10	0	9	drc_error		{789.2470 315.2350} {789.2970 315.4370}	NA	NA	NA	NA	NA	NA
drc_object_10	1	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]	net		{788.0920 315.2050} {795.1030 324.1780}						
near_cell_10	1	U3052	cell		{789.7650 312.5700} {790.9070 314.3730}		NAND2X0_HVT	saed32hvt_tt.modified_lef/NAND2X0_HVT			
near_cell_10	2	U3056	cell		{790.6770 312.5700} {792.1130 314.3730}		AND2X1_HVT	saed32hvt_tt.modified_lef/AND2X1_HVT			
near_cell_10	3	U3071	cell		{787.4850 315.9140} {789.0830 317.7170}		OR2X1_HVT	saed32hvt_tt.modified_lef/OR2X1_HVT			
near_cell_10	4	U3076	cell		{786.8770 314.1710} {788.4750 315.9740}		OR2X1_HVT	saed32hvt_tt.modified_lef/OR2X1_HVT			
near_cell_10	5	U4179	cell		{789.1570 315.9140} {791.5150 317.7310}		AO222X2_HVT	saed32hvt_tt.modified_lef/AO222X2_HVT			
near_pin_10	1	U3055/A1	pin	M1 CO	{788.9130 315.1290} {789.0850 315.3130}	n2925					
near_pin_10	2	U3055/VSS	pin	M1 CO	{788.6640 315.5570} {790.1840 315.9740}	VSS					
near_shape_10	1	PATH_19_613	shape	M5	{772.9800 315.4600} {790.3640 315.5160}	n4303			detail_route		n4303
near_shape_10	2	PATH_17_9398	shape	M4	{789.0920 306.6440} {789.1480 342.2680}	n46756			detail_route		n46756
near_shape_10	3	PATH_15_185991	shape	M3	{779.3640 315.4600} {790.2120 315.5160}	n54888			detail_route		n54888
near_shape_10	4	PATH_13_544054	shape	M2	{789.2440 315.3080} {789.3000 317.3400}	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]			detail_route		u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]
offgrid_error_11	0	10	drc_error		{736.5030 331.9550} {736.5530 332.1570}	NA	NA	NA	NA	NA	NA
drc_object_11	1	n6576	net		{735.4390 313.3050} {779.8130 332.5440}						
near_cell_11	1	U3015	cell		{734.7410 332.6340} {735.8830 334.4370}		INVX2_HVT	saed32hvt_tt.modified_lef/INVX2_HVT			
near_cell_11	2	U3017	cell		{736.4130 332.6340} {738.0110 334.4370}		OR2X1_HVT	saed32hvt_tt.modified_lef/OR2X1_HVT			
near_cell_11	3	U4013	cell		{737.7810 329.2900} {740.5950 331.0930}		AND4X4_RVT	saed32rvt_tt.modified_lef/AND4X4_RVT			
near_cell_11	4	U3100	cell		{734.1330 330.8910} {736.0350 332.6940}		NAND2X2_HVT	saed32hvt_tt.modified_lef/NAND2X2_HVT			
near_cell_11	5	U3014	cell		{737.3250 330.8910} {738.3150 332.6940}		INVX1_HVT	saed32hvt_tt.modified_lef/INVX1_HVT			
near_pin_11	1	U7945/A1	pin	M1 CO	{736.1690 331.8490} {736.3410 332.0330}	n6577					
near_pin_11	2	U7945/VSS	pin	M1 CO	{735.9200 332.2770} {737.4400 332.6940}	VSS					
near_shape_11	1	PATH_11_7532	shape	M1	{736.0420 331.8740} {736.2850 331.9340}	n6577			detail_route		n6577
near_shape_11	2	PATH_15_39021	shape	M3	{736.0440 331.8760} {737.4680 331.9320}	n6577			detail_route		n6577
